category,last_update,link,scraped_at,timestamp,title
detikSport,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://sport.detik.com/moto-gp/d-5265334/link-live-streaming-trans7-motogp-portugal-2020,2020-11-22 20:27:36.458759,1606039205,Link Live Streaming Trans7 MotoGP Portugal 2020
detikNews,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://news.detik.com/berita/d-5265451/kodam-jaya-jelaskan-soal-penumpang-wanita-di-ranpur-tni-saat-penertiban-baliho,2020-11-22 20:27:36.558240,1606043881,Kodam Jaya Jelaskan soal Penumpang Wanita di Ranpur TNI Saat Penertiban Baliho
Sepakbola,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://sport.detik.com/sepakbola/liga-inggris/d-5265393/harry-kane-mengubah-cara-pandang-terhadap-striker,2020-11-22 20:27:36.641645,1606042809,Harry Kane Mengubah Cara Pandang terhadap Striker
detikHot,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://hot.detik.com/celeb/d-5265276/naik-moge-nikita-mirzani-keliling-nyopotin-baliho,2020-11-22 20:27:36.729012,1606034567,"Naik Moge, Nikita Mirzani: Keliling Nyopotin Baliho"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://news.detik.com/berita/d-5265418/polisi-semprot-disinfektan-di-petamburan-gang-rumah-hrs-dijaga-laskar-fpi,2020-11-22 20:27:36.806905,1606042443,"Polisi Semprot Disinfektan di Petamburan, Gang Rumah HRS Dijaga Laskar FPI"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://news.detik.com/berita/d-5265465/pdip-heran-jk-bicara-soal-kekosongan-kepemimpinan-saat-bahas-habib-rizieq,2020-11-22 20:27:36.958911,1606044968,PDIP Heran JK Bicara soal 'Kekosongan Kepemimpinan' saat Bahas Habib Rizieq
detikHot,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://hot.detik.com/celeb/d-5265399/jawaban-slamet-maarif-soal-nikita-mirzani-yang-geram-dengan-doa-habib-rizieq,2020-11-22 20:27:37.029340,1606043011,Jawaban Slamet Maarif Soal Nikita Mirzani yang Geram dengan Doa Habib Rizieq
detikNews,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://news.detik.com/berita/d-5265417/jk-bicara-kekosongan-kepemimpinan-golkar-soroti-anies,2020-11-22 20:27:37.101247,1606042422,"JK Bicara 'Kekosongan Kepemimpinan', Golkar Soroti Anies"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://news.detik.com/berita/d-5265481/kapolsek-wakapolsek-tanah-abang-positif-covid-19-kapolda-doakan-kesembuhan,2020-11-22 20:27:37.171096,1606046508,"Kapolsek-Wakapolsek Tanah Abang Positif COVID-19, Kapolda Doakan Kesembuhan"
Sepakbola,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://sport.detik.com/sepakbola/liga-inggris/d-5265379/entah-apa-jadinya-man-united-tanpa-bruno-fernandes,2020-11-22 20:27:37.241495,1606041037,Entah Apa Jadinya Man United Tanpa Bruno Fernandes
detikHealth,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://health.detik.com/berita-detikhealth/d-5265428/kemenkes-temukan-50-kasus-positif-covid-19-tebet-30-di-petamburan,2020-11-22 20:27:37.320756,1606042723,"Kemenkes Temukan 50 Kasus Positif COVID-19 Tebet, 30 di Petamburan"
detikOto,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://oto.detik.com/rona-roda/d-5265370/ini-moge-yang-dipakai-nikita-mirzani-keliling-copot-baliho,2020-11-22 20:27:37.394897,1606039586,Ini Moge yang Dipakai Nikita Mirzani Keliling Copot Baliho
detikOto,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://oto.detik.com/otosport/d-5265482/link-live-streaming-motogp-portugal-saksikan-di-sini,2020-11-22 20:27:37.462354,1606046562,"Link Live Streaming MotoGP Portugal, Saksikan di Sini"
detikFood,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://food.detik.com/info-kuliner/d-5265364/hii-jorok-penjual-mie-ayam-ini-cuci-alat-makan-di-kuah-kaldu,2020-11-22 20:27:37.531314,1606037553,Hii Jorok! Penjual Mie Ayam Ini 'Cuci' Alat Makan di Kuah Kaldu
Wolipop,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://wolipop.detik.com/love/d-5265228/tes-kepribadian-gambar-laut-atau-pasangan-yang-pertama-kali-kamu-lihat,2020-11-22 20:27:37.599515,1606041033,Tes Kepribadian: Gambar Laut atau Pasangan yang Pertama Kali Kamu Lihat?
Wolipop,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://wolipop.detik.com/worklife/d-5265213/kisah-3-wni-yang-pindah-kewarganegaraan-ini-proses-yang-dijalani,2020-11-22 20:27:37.665306,1606033855,"Kisah 3 WNI yang Pindah Kewarganegaraan, Ini Proses yang Dijalani"
detikFood,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://food.detik.com/info-kuliner/d-5264622/pesan-makanan-sampai-rp-1-juta-malah-dikirim-air-kencing,2020-11-22 20:27:37.730025,1606046400,"Pesan Makanan Sampai Rp 1 Juta, Malah Dikirim Air Kencing"
detikHealth,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://health.detik.com/berita-detikhealth/d-5265480/antisipasi-kemenkes-hadapi-lonjakan-kasus-corona-dari-kerumunan-habib-rizieq,2020-11-22 20:27:37.794914,1606046426,Antisipasi Kemenkes Hadapi Lonjakan Kasus Corona dari Kerumunan Habib Rizieq
detikOto,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://oto.detik.com/berita/d-5265374/makin-banyak-motor-pakai-keyless-kunci-biasa-bakal-punah,2020-11-22 20:27:37.864118,1606043444,"Makin Banyak Motor Pakai Keyless, Kunci Biasa Bakal Punah?"
detikOto,"Terakhir update : Minggu, 22 November 2020 19:27 WIB",https://oto.detik.com/motor/d-5265280/sultan-ini-orang-ri-pertama-pemilik-cbr1000rr-r-fireblade-rp-11-miliar,2020-11-22 20:27:37.930161,1606033266,"Sultan! Ini Orang RI Pertama Pemilik CBR1000RR-R Fireblade Rp 1,1 Miliar"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265430/tni-copot-baliho-hrs-wagub-dki-tugas-dan-tanggung-jawab-satpol-pp,2020-11-22 20:27:42.020702,1606042780,"TNI Copot Baliho HRS, Wagub DKI: Tugas dan Tanggung Jawab Satpol PP"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265404/suara-orang-tua-soal-sekolah-boleh-buka-lagi-anak-anak-sudah-bosan-di-rumah,2020-11-22 20:27:42.091635,1606040755,Suara Orang Tua soal Sekolah Boleh Buka Lagi: Anak-anak Sudah Bosan di Rumah
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265444/update-tracing-kerumunan-hrs-50-positif-corona-di-tebet-30-di-petamburan,2020-11-22 20:27:42.164147,1606043187,"Update Tracing Kerumunan HRS: 50 Positif Corona di Tebet, 30 di Petamburan"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita-jawa-timur/d-5265396/pengakuan-pembunuh-mandor-dendam-hingga-celurit-nancap-di-dada-korban,2020-11-22 20:27:42.237185,1606039860,"Pengakuan Pembunuh Mandor, Dendam Hingga Celurit Nancap di Dada Korban"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265412/kapolda-metro-dan-kasdam-jaya-cek-rapid-test-gratis-di-petamburan,2020-11-22 20:27:42.313182,1606041424,Kapolda Metro dan Kasdam Jaya Cek Rapid Test Gratis di Petamburan
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265222/fpi-pemerintah-tak-usah-repot-tes-swab-habib-rizieq-ada-tim-hilmi-dan-mer-c,2020-11-22 20:27:42.381378,1606028203,"FPI: Pemerintah Tak Usah Repot Tes Swab Habib Rizieq, Ada Tim HILMI dan Mer-C"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265390/debat-panas-soal-margondasentris-pradi-afifah-dan-idris-imam-saling-sindir,2020-11-22 20:27:42.452246,1606038955,"Debat Panas soal Margondasentris, Pradi-Afifah dan Idris-Imam Saling Sindir"
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265268/anies-unggah-foto-baca-buku-how-democracies-die,2020-11-22 20:27:42.520789,1606032060,Anies Unggah Foto Baca Buku 'How Democracies Die'
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita-jawa-timur/d-5265367/ini-motif-di-balik-dibunuhnya-mandor-proyek-saat-sambangi-istri-siri,2020-11-22 20:27:42.587618,1606037829,Ini Motif di Balik Dibunuhnya Mandor Proyek Saat Sambangi Istri Siri
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/foto-news/d-5265455/petamburan-disemprot-disinfektan-imbas-kerumunan-massa-habib-rizieq,2020-11-22 20:27:42.656222,1606044767,Petamburan Disemprot Disinfektan Imbas Kerumunan Massa Habib Rizieq
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265454/kemenkes-imbau-warga-di-kerumunan-hrs-lakukan-isolasi-mandiri,2020-11-22 20:27:42.739283,1606044526,Kemenkes Imbau Warga di Kerumunan HRS Lakukan Isolasi Mandiri
detikNews,"Terakhir update : Minggu, 22 November 2020 19:26 WIB",https://news.detik.com/berita/d-5265388/denny-cagur-sampai-ayu-azhari-gabung-ke-pan-dki,2020-11-22 20:27:42.805069,1606038845,Denny Cagur sampai Ayu Azhari Gabung ke PAN DKI
