link,rank,scraped_at,title
https://inilah.com/news/2584219/umat-islam-diimbau-waspada-provokasi,1,2020-11-22 23:08:25.849159,Umat Islam Diimbau Waspada Provokasi NEWS
https://inilah.com/news/2584275/petugas-gabungan-minta-habib-rizieq-swab-test,2,2020-11-22 23:08:25.917628,Petugas Gabungan Minta Habib Rizieq Swab Test NEWS
https://inilah.com/news/2584212/kata-polisi-soal-menantu-dan-anak-habib-rizieq,3,2020-11-22 23:08:25.990393,Kata Polisi Soal Menantu dan Anak Habib Rizieq NEWS
https://inilah.com/news/2584261/janda-ini-kegep-masukkan-berondong-ke-rumah,4,2020-11-22 23:08:26.049966,Janda Ini Kegep Masukkan Berondong ke Rumah NEWS
https://inilah.com/news/2584254/ssstada-pengusaha-bangun-pabrik-gula-di-kalbar,5,2020-11-22 23:08:26.114964,Ssst...Ada Pengusaha Bangun Pabrik Gula di Kalbar NEWS
https://inilah.com/news/2584208/mayjen-tni-dudung-dijuluki-komandan-hero,6,2020-11-22 23:08:26.176187,"Mayjen TNI Dudung Dijuluki ""Komandan Hero"" NEWS"
https://inilah.com/news/2584234/tolok-ukur-kinerja-bpp-kostratani,7,2020-11-22 23:08:26.241112,Tolok Ukur Kinerja BPP KostraTani NEWS
https://inilah.com/news/2584242/respon-pks-soal-rencana-pertemuan-wapres-rizieq,8,2020-11-22 23:08:26.329211,Respon PKS Soal Rencana Pertemuan Wapres-Rizieq NEWS
https://inilah.com/news/2584249/ini-update-corona-21-november-2020,9,2020-11-22 23:08:26.395227,Ini Update Corona 21 November 2020 NEWS
https://inilah.com/news/2584217/negara-meski-respon-usulan-bubarkan-fpi,10,2020-11-22 23:08:26.463135,Negara Meski Respon Usulan Bubarkan FPI NEWS
