category,link,scraped_at,summary,timestamp,title,title_most_popular,link_most_popular,category_most_popular,timestamp_most_popular,summary_most_popular
HUKUM,https://www.jpnn.com/news/minta-tni-terus-operasi-copot-baliho-hrs-neta-ipw-soekarno-yang-memerdekan-bangsa-ini-saja-tidak-searogan-rizieq,2020-11-22 22:27:20.799224,Neta S Pane mendukung upaya TNI untuk menertibkan baliho Imam Besar FPI Habib Rizieq Shihab dan meminta tidak…,"Minggu, 22 November 2020 – 13:26 WIB","Minta TNI Terus Operasi Copot Baliho HRS, Neta IPW: Soekarno yang Memerdekan Bangsa ini Saja Tidak Searogan Rizieq","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SELEB,https://www.jpnn.com/news/nikita-mirzani-blak-blakan-pengin-masuk-neraka-alasannya-mengejutkan,2020-11-22 22:27:20.903222,Nikita Mirzani berkelakar bahwa dirinya lebih memilih masuk neraka ketimbang ke surga.,"Minggu, 22 November 2020 – 16:25 WIB","Nikita Mirzani Blak-blakan Pengin Masuk Neraka, Alasannya Mengejutkan","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
,https://www.jpnn.com/news/polisi-temukan-ruangan-untuk-memproduksi-narkotika-di-rumah-ustaz-sa,2020-11-22 22:27:20.996887,Kombes Helmi miris melihat ada ruangan di rumah ustaz SA untuk memproduksi narkotika.,"Minggu, 22 November 2020 – 20:25 WIB",Polisi Temukan Ruangan untuk Memproduksi Narkotika di Rumah Ustaz SA,"Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
,https://www.jpnn.com/news/viral-video-oknum-polwan-aiptu-da-tengah-asyik-pesta-sabu-sabu,2020-11-22 22:27:21.097616,"Jagat maya heboh dengan beredarnya rekaman video oknum polisi wanita (polwan) sedang pesta sabu-sabu di Mesuji, Lampung.","Minggu, 22 November 2020 – 11:49 WIB",Viral Video Oknum Polwan Aiptu DA Tengah Asyik Pesta Sabu-sabu,"Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SELEB,https://www.jpnn.com/news/tolong-disimak-ini-pesan-derry-sulaiman-untuk-nikita-mirzani,2020-11-22 22:27:21.203518,Mantan personel band metal Betrayer itu meyertakan sebuah foto Nikita Mirzani tampil mengenakan hijab.,"Minggu, 22 November 2020 – 13:10 WIB","Tolong Disimak, Ini Pesan Derry Sulaiman untuk Nikita Mirzani","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
PAPUA,https://www.jpnn.com/news/atanius-tewas-ditembak-sedangkan-manus-selamat-setelah-berpura-pura-mati,2020-11-22 22:27:21.301504,Manus yang selamat dari insiden itu mengaku sempat didatangi oleh pelaku penembakan.,"Minggu, 22 November 2020 – 09:58 WIB","Atanius Tewas Ditembak, Sedangkan Manus Selamat Setelah Berpura-pura Mati","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SELEB,https://www.jpnn.com/news/8-tahun-menanti-tata-janeeta-alhamdulillah-ya-allah,2020-11-22 22:27:21.398969,Penyanyi Tata Janeeta mengaku sudah 8 tahun menanti kabar bahagia tersebut. Hingga akhirnya...,"Minggu, 22 November 2020 – 15:15 WIB","8 Tahun Menanti, Tata Janeeta: Alhamdulillah ya Allah","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SELEB,https://www.jpnn.com/news/kepada-ari-lasso-rossa-mengaku-tak-tertarik-begituan-lagi,2020-11-22 22:27:21.493843,"Lama menjanda, Rossa mengaku tidak merindukan untuk melakukan hubungan suami istri.","Minggu, 22 November 2020 – 12:41 WIB","Kepada Ari Lasso, Rossa Mengaku Tak Tertarik Begituan Lagi","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SOSIAL,https://www.jpnn.com/news/alhamdulillah-guru-honorer-k2-yang-lulus-pppk-merasa-terhibur-oleh-bsu-rp-18-juta,2020-11-22 22:27:21.590479,Bantuan subsidi upah menjadi penghibur hati guru honorer K2 yang lulus PPPK karena sudah 21 bulan menunggu NIP…,"Minggu, 22 November 2020 – 16:47 WIB","Alhamdulillah, Guru Honorer K2 yang Lulus PPPK Merasa Terhibur oleh BSU Rp 1,8 Juta","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
SELEB,https://www.jpnn.com/news/fakta-menarik-tentang-olivia-allan-istri-denny-sumargo,2020-11-22 22:27:21.680398,Sosok Olivia yang selama ini disembunyikan oleh Denny Sumargo rupanya bukan orang sembarangan.,"Minggu, 22 November 2020 – 14:38 WIB","Fakta Menarik tentang Olivia Allan, Istri Denny Sumargo  ","Oknum Petugas Bandara Masih Muda, Ya Ampun di Ruang Kerjanya...",https://www.jpnn.com/news/oknum-petugas-bandara-masih-muda-ya-ampun-di-ruang-kerjanya,KRIMINAL,"Minggu, 22 November 2020 – 12:51 WIB","Seorang oknum petugas Bandara Nabire Papua ditangkap polisi dan kini meringkuk di sel tahanan, bersama satu tersangka lainnya."
