date,headline_link,headline_title,link,page,scraped_at,title
"Minggu, 22 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/resmi-menikah-denny-sumargo-pajang-foto-bareng-istri-tulis-caption-video-malam-pertama-ntar-nyusul-e6c173.html,1.0,2020-11-22 21:40:36.960862,"Resmi Menikah, Denny Sumargo Pajang Foto Bareng Istri Tulis Caption 'Video Malam Pertama Ntar Nyusul'"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/jelang-2021-paranormal-sebut-akan-ada-2-public-figure-meninggal-dunia-tahun-depan-39c2d3.html,1.0,2020-11-22 21:40:37.033214,"Jelang 2021, Paranormal Sebut Akan Ada 2 Public Figure Meninggal Dunia Tahun Depan"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/paranormal-ungkap-hasil-terawangan-tahun-2021-bakal-banyak-bencana-alam-terjadi-di-awal-tahun-1f1821.html,1.0,2020-11-22 21:40:37.118104,"Paranormal Ungkap Hasil Terawangan Tahun 2021, Bakal Banyak Bencana Alam Terjadi di Awal Tahun"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/nana-mirdad-sampaikan-pesan-positif-untuk-hadapi-masa-pandemi-c1962a.html,1.0,2020-11-22 21:40:37.191958,Nana Mirdad Sampaikan Pesan Positif untuk Hadapi Masa Pandemi
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/gara-gara-masker-sekarang-nycta-gina-jadi-makin-malas-pakai-makeup-03a378.html,1.0,2020-11-22 21:40:37.268582,"Gara-Gara Masker, Sekarang Nycta Gina Jadi Makin Malas Pakai Makeup"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/viral-video-vicky-prasetyo-dilabrak-oleh-mantan-istrinya-di-pinggir-jalan-diduga-masalah-utang-e24035.html,1.0,2020-11-22 21:40:37.342694,"Viral Video Vicky Prasetyo Dilabrak Oleh Mantan Istrinya di Pinggir Jalan, Diduga Masalah Utang"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/foto/berita-foto/indonesia/8-potret-gaya-aurel-hermansyah-yang-makin-cantik--tampil-sopan-usai-pacaran-dengan-atta-halilintar.html,1.0,2020-11-22 21:40:37.419682,8 Potret Gaya Aurel Hermansyah yang Makin Cantik & Tampil Sopan Usai Pacaran dengan Atta Halilintar
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/showbiz/selebriti/akhirnya-liburan-ini-kegiatan-staycation-mona-ratuliu-selama-pandemi-90c7d2.html,1.0,2020-11-22 21:40:37.494981,"Akhirnya Liburan, Ini Kegiatan Staycation Mona Ratuliu Selama Pandemi"
"Sabtu, 21 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/foto/berita-foto/indonesia/potret-aqiqah-baby-rumi-anak-dian-pelangi-dekorasi-cantik---souvenirnya-unik.html,1.0,2020-11-22 21:40:37.551492,"Potret Aqiqah Baby Rumi Anak Dian Pelangi, Dekorasi Cantik - Souvenirnya Unik"
"Jum'at, 20 November 2020",https://www.kapanlagi.com/foto/berita-foto/korea/14-potret-detail-acara-pernikahan-denny-sumargo-dan-olivia-allan-momen-haru-keluarga-menangis---keindahan-cincin-nikah.html,"14 Potret Detail Acara Pernikahan Denny Sumargo dan Olivia Allan, Momen Haru Keluarga Menangis - Keindahan Cincin Nikah",https://www.kapanlagi.com/foto/berita-foto/indonesia/8-potret-liburan-seru-tya-ariestya-bersama-suami-dan-anak-anaknya-di-bali.html,1.0,2020-11-22 21:40:37.611481,8 Potret Liburan Seru Tya Ariestya Bersama Suami dan Anak-Anaknya di Bali
