link,rank,read_count,scraped_at,title
https://regional.kompas.com/read/2020/11/22/07000081/kleptomania-bocah-8-tahun-buat-polisi-kewalahan-lakukan-puluhan-pencurian,1,Dibaca 78.738 kali,2020-11-22 19:23:30.912008,"Kleptomania, Bocah 8 Tahun Buat Polisi Kewalahan, Lakukan Puluhan Pencurian, Sejak Bayi Dicekoki Narkoba"
https://regional.kompas.com/read/2020/11/22/06451971/bubarkan-pesta-pernikahan-anak-kepala-bpbd-kapolres-saya-sudah-katakan,2,Dibaca 33.024 kali,2020-11-22 19:23:30.991281,"Bubarkan Pesta Pernikahan Anak Kepala BPBD, Kapolres: Saya Sudah Katakan Resepsi Tidak Boleh"
https://regional.kompas.com/read/2020/11/22/11220011/uang-puluhan-juta-berceceran-di-saluran-irigasi-satu-petani-dapat-rp-10-juta,3,Dibaca 26.464 kali,2020-11-22 19:23:31.057231,"Uang Puluhan Juta Berceceran di Saluran Irigasi, Satu Petani Dapat Rp 10 Juta"
https://megapolitan.kompas.com/read/2020/11/22/09590841/psbb-transisi-berakhir-hari-ini-jakarta-catat-penambahan-kasus-positif,4,Dibaca 21.938 kali,2020-11-22 19:23:31.121724,"PSBB Transisi Berakhir Hari Ini, Jakarta Catat Penambahan Kasus Positif Covid-19 Tertinggi"
https://regional.kompas.com/read/2020/11/22/12562311/setahun-berlalu-setelah-viral-begini-kondisi-negeri-di-atas-awan-banten,5,Dibaca 21.076 kali,2020-11-22 19:23:31.184002,"Setahun Berlalu Setelah Viral, Begini Kondisi Negeri di Atas Awan Banten"
https://otomotif.kompas.com/read/2020/11/22/080100415/meluncur-di-jawa-barat-harga-all-new-honda-scoopy-mulai-rp-20-jutaan,6,Dibaca 15.014 kali,2020-11-22 19:23:31.259829,"Meluncur di Jawa Barat, Harga All New Honda Scoopy Mulai Rp 20 Jutaan"
https://regional.kompas.com/read/2020/11/22/08050021/dianggap-berpihak-dua-panelis-debat-pilkada-medan-ditolak-paslon-ini,7,Dibaca 14.371 kali,2020-11-22 19:23:31.336103,"Dianggap Berpihak, Dua Panelis Debat Pilkada Medan Ditolak Paslon, Ini Tanggapan KPU..."
https://www.kompas.com/motogp/read/2020/11/22/10003158/jadwal-dan-link-live-streaming-motogp-portugal-tim-satelit-front-row,8,Dibaca 11.884 kali,2020-11-22 19:23:31.406506,Jadwal dan Link Live Streaming MotoGP Portugal: Tim Satelit Front Row
https://otomotif.kompas.com/read/2020/11/22/102100015/jangan-injak-rem-terus-menerus-di-jalan-menurun-bahaya-,9,Dibaca 11.729 kali,2020-11-22 19:23:31.482308,"Jangan Injak Rem Terus-menerus di Jalan Menurun, Bahaya!"
https://www.kompas.com/hype/read/2020/11/22/081340166/rahasia-awet-muda-wulan-guritno-rajin-olahraga-dan-tidak-konsumsi-gula,10,Dibaca 11.627 kali,2020-11-22 19:23:31.556727,"Rahasia Awet Muda Wulan Guritno, Rajin Olahraga dan Tidak Konsumsi Gula"
