category,link,page,summary,timestamp,title,type
JAWA TENGAH - DIY,https://www.liputan6.com/regional/read/4414464/aktivitas-gunung-merapi-meningkat-warga-berbondong-bondong-mengungsi,1.0,"Jumlah pengungsi warga tiga desa yang masuk di Kawasan Rawan Bencana (KRB) III erupsi Gunung Merapi, Kecamatan Selo Kabupaten Boyolali, Jawa Tengah, hingga Jumat, terus bertambah",2020-11-22T03:00:11+07:00,"Aktivitas Gunung Merapi Meningkat, Warga Berbondong-bondong Mengungsi",hari-ini
JAWA TENGAH - DIY,https://www.liputan6.com/regional/read/4414589/skenario-terburuk-dampak-letusan-gunung-merapi,1.0,"Persiapan yang sudah dilakukan oleh tiga kabupaten yang terdampak letusan Merapi, yaitu Kabupaten Klaten, Magelang, dan Boyolali tidak sama",2020-11-22T10:00:13+07:00,Skenario Terburuk Dampak Letusan Gunung Merapi,hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414468/tonton-live-streaming-sctv-the-sultan-bersama-raffi-ahmad-dan-andre-taulany-sabtu-21-november-2020,1.0,The Sultan ditayangkan setiap hari Sabtu dan Minggu malam.,2020-11-21T23:00:00+07:00,"Tonton Live Streaming SCTV The Sultan Bersama Raffi Ahmad dan Andre Taulany, Sabtu 21 Nove...",hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414537/live-streaming-sctv-ftv-pagi-spesial-from-siomay-jadi-soulmate-minggu-22-november-2020,1.0,FTV Pagi Spesial tayang setiap hari.,2020-11-22T07:30:05+07:00,"Live Streaming SCTV FTV Pagi Spesial: From Siomay Jadi Soulmate, Minggu 22 November 2020",hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414538/live-streaming-sctv-ftv-pagi-jutaan-mak-comblang-bahkan-tidak-menyadari-minggu-22-november-2020,1.0,FTV Pagi tayang mulai pukul 10.00 WIB.,2020-11-22T09:30:35+07:00,"Live Streaming SCTV FTV Pagi: Jutaan Mak Comblang Bahkan Tidak Menyadari, Minggu 22 Novemb...",hari-ini
LIFESTYLE,https://www.liputan6.com/lifestyle/read/4414431/gaya-hidup-biksu-kaya-dari-korea-selatan-yang-tuai-kontroversi,1.0,"Padahal, biksu Buddha yang lebih kaya dari dirinya terbilang banyak.",2020-11-22T03:00:12+07:00,Gaya Hidup Biksu Kaya dari Korea Selatan yang Tuai Kontroversi,hari-ini
SHOWBIZ,https://www.liputan6.com/showbiz/read/4414521/live-streaming-indosiar-ftv-kisah-nyata-spesial-pernikahanku-berantakan-bagai-kapal-pecah-minggu-22-november-2020,1.0,Indosiar,2020-11-22T11:30:29+07:00,Live Streaming Indosiar FTV Kisah Nyata Spesial: Pernikahanku Berantakan Bagai Kapal Pecah...,hari-ini
JAWA TENGAH - DIY,https://www.liputan6.com/regional/read/4414580/aksi-tolak-rizieq-shihab-di-solo-dibubarkan-polisi-kenapa,1.0,Polisi langsung memperingatkan peserta aksi tolak Rizieq untuk membubarkan diri,2020-11-22T11:00:11+07:00,"Aksi Tolak Rizieq Shihab di Solo Dibubarkan Polisi, Kenapa?",hari-ini
NEWS,https://www.liputan6.com/news/read/4414280/video-ruu-minol-calon-aturan-baru-yang-ujug-ujug-nongol,1.0,"Puluhan anggota DPR RI mengusulkan munculnya RUU Larangan Minuman Beralkohol atau RUU Minol. Berikut ada bedah lengkap draf RUU Minol untuk anda,",2020-11-22T10:00:00+07:00,"VIDEO: RUU Minol, Calon Aturan Baru yang Ujug-Ujug Nongol",hari-ini
SELEBRITIS,https://www.liputan6.com/showbiz/read/4414504/kembali-bahas-perceraian-pablo-benua-kalau-mau-ringankan-beban-silakan-gugat-cerai-saya,1.0,Beberapa waktu lalu beredar kabar bahwa rumah tangga Pablo Benua dan Rey Utami sedang terancam perpisahan.,2020-11-22T11:00:00+07:00,"Kembali Bahas Perceraian, Pablo Benua: Kalau Mau Ringankan Beban, Silakan Gugat Cerai Saya",hari-ini
