link,scraped_at,title
https://republika.co.id/berita/qjgd43328/tiga-pelaku-begal-sepeda-ditembak-mati,2020-11-22 19:37:18.603112,Tiga Pelaku Begal Sepeda Ditembak Mati
https://republika.co.id/berita/qjgqpx483/jangan-mengeluh-kisah-emakemak-produktif-saat-pandemi,2020-11-22 19:37:18.640510,Jangan Mengeluh! Kisah 'Emak-Emak' Produktif Saat Pandemi
https://republika.co.id/berita/qjh4sf318/biden-menang-dradjad-sekarang-terserah-indonesia,2020-11-22 19:37:18.671532,"Biden Menang, Dradjad: Sekarang Terserah Indonesia"
https://republika.co.id/berita/qjg72e328/polisi-harus-perlakukan-rizieq-seperti-wni-lainnya,2020-11-22 19:37:18.701633,Polisi Harus Perlakukan Rizieq Seperti WNI Lainnya
https://republika.co.id/berita/qjgzy5330/pemkot-jakpus-bangun-tanggul-kali-ciliwung-di-senen,2020-11-22 19:37:18.734932,Pemkot Jakpus Bangun Tanggul Kali Ciliwung di Senen
https://republika.co.id/berita/qjh4f6409/belasan-akun-penyebar-video-mirip-gisel-dilaporkan-ke-polisi,2020-11-22 19:37:18.758698,Belasan Akun Penyebar Video Mirip Gisel Dilaporkan ke Polisi
https://republika.co.id/berita/qjgm9p328/pan-tak-terancam-dengan-kehadiran-partai-masyumi,2020-11-22 19:37:18.785383,PAN tak Terancam dengan Kehadiran Partai Masyumi
https://republika.co.id/berita/qjggpw328/angin-segar-kemenangan-joe-biden-untuk-indonesia,2020-11-22 19:37:18.811214,Angin Segar Kemenangan Joe Biden untuk Indonesia
https://republika.co.id/berita/qjh7do409/gatot-brajamusti-meninggal-dunia,2020-11-22 19:37:18.837629,Gatot Brajamusti Meninggal Dunia
https://republika.co.id/berita/qjg9eu328/kepulangan-rizieq-orang-kangen-masa-rusuh,2020-11-22 19:37:18.864636,
