link,scraped_at,title
https://nasional.sindonews.com/read/241080/12/habib-rizieq-mau-diperiksa-polisi-asal-orang-orang-ini-ikut-dipanggil-1606007466,2020-11-22 22:37:22.786558,Habib Rizieq Mau Diperiksa Polisi asal Orang-Orang Ini Ikut Dipanggil
https://daerah.sindonews.com/read/240342/707/meninggal-kamis-malam-ketua-fui-cilacap-sempat-dikabarkan-jemput-rizieq-sihab-dan-positif-covid-19-1605928289,2020-11-22 22:37:22.817651,"Meninggal Kamis Malam, Ketua FUI Cilacap Sempat Dikabarkan Jemput Rizieq Sihab dan Positif COVID-19"
https://metro.sindonews.com/read/241518/170/datangi-petamburan-kapolda-metro-jaya-bila-perlu-kita-ke-rumah-rumah-hingga-kamar-tidur-1606043464,2020-11-22 22:37:22.841072,"Datangi Petamburan, Kapolda Metro Jaya: Bila Perlu Kita ke Rumah-rumah hingga Kamar Tidur"
https://metro.sindonews.com/read/240650/170/mau-tahu-apa-saja-isi-tulisan-baliho-habib-rizieq-yang-dipereteli-tni-1605949895,2020-11-22 22:37:22.868245,Mau Tahu Apa Saja Isi Tulisan Baliho Habib Rizieq yang Dipereteli TNI?
https://metro.sindonews.com/read/241392/170/polisi-bertebaran-di-petamburan-jelang-kedatangan-kapolda-dan-pangdam-jaya-1606032677,2020-11-22 22:37:22.890100,Polisi Bertebaran di Petamburan Jelang Kedatangan Kapolda dan Pangdam Jaya
https://metro.sindonews.com/read/241340/170/siang-ini-polda-metro-jaya-datangi-markas-fpi-di-petamburan-1606029098,2020-11-22 22:37:22.912602,Siang Ini Polda Metro Jaya Datangi Markas FPI di Petamburan
https://sports.sindonews.com/read/240730/50/akhir-menyakitkan-anderson-silva-sang-legenda-mantan-jawara-ufc-1605957069,2020-11-22 22:37:22.935186,Akhir Menyakitkan Anderson Silva sang Legenda Mantan Jawara UFC
https://daerah.sindonews.com/read/241028/701/tangis-ibunda-yuda-dan-reza-pecah-2-putra-tercintanya-tertimbun-tambang-emas-1606000313,2020-11-22 22:37:22.966358,"Tangis Ibunda Yuda dan Reza Pecah, 2 Putra Tercintanya Tertimbun Tambang Emas"
https://metro.sindonews.com/read/241550/170/warga-petamburan-tolak-rapid-test-kapolda-metro-jaya-jangan-diancam-kasian-mereka-1606043496,2020-11-22 22:37:22.989367,"Warga Petamburan Tolak Rapid Test, Kapolda Metro Jaya: Jangan Diancam, Kasian Mereka"
https://daerah.sindonews.com/read/240546/707/pangdam-jaya-ingin-fpi-dibubarkan-pa-212-ranah-tni-tidak-sampai-menilai-ormas-1605942680,2020-11-22 22:37:23.012292,"Pangdam Jaya Ingin FPI Dibubarkan, PA 212: Ranah TNI Tidak Sampai Menilai Ormas"
