link,scraped_at,summary,timestamp,title,type
https://metro.tempo.co/read/1407774/tni-dan-polisi-datangi-rumah-rizieq-shihab-kapendam-jaya-tak-terencana-tapi,2020-11-22 21:58:11.803522,,,,6jam
https://metro.tempo.co/read/1407791/cerita-pengusaha-percetakan-soal-pencopotan-sejumlah-baliho-rizieq-shihab,2020-11-22 21:58:11.871359,,,,6jam
https://fokus.tempo.co/read/1407759/jalan-pintas-tni-setelah-baliho-rizieq-shihab-membuat-resah,2020-11-22 21:58:11.939310,,,,6jam
https://metro.tempo.co/read/1407811/kapolda-metro-soal-kerumunan-kapolsek-wakapolsek-tanah-abang-positif-covid-19,2020-11-22 21:58:12.026099,,22 November 2020 17:55 WIB,,6jam
https://nasional.tempo.co/read/1407798/eks-dirjen-otda-kritik-pemanggilan-anies-oleh-polda-harus-atas-izin-jokowi,2020-11-22 21:58:12.101010,Djohermansyah mengatakan pemanggilan gubernur seharusnya atas izin Presiden Republik Indonesia Joko Widodo atau Jokowi.,22 November 2020 16:49 WIB,Eks Dirjen Otda Kritik Pemanggilan Anies oleh Polda: Harus Atas Izin Jokowi,6jam
https://nasional.tempo.co/read/1407773/pemerintah-akui-meleset-prediksi-jumlah-massa-penyambut-rizieq-shihab,2020-11-22 21:58:12.173512,Jumlah massa penyambut Rizieq Shihab di luar prediksi. Diperkirakan hanya 6 ribu orang.,22 November 2020 14:47 WIB,Pemerintah Akui Meleset Prediksi Jumlah Massa Penyambut Rizieq Shihab,6jam
https://nasional.tempo.co/read/1407786/kemendagri-akui-mendagri-tak-bisa-berhentikan-kepala-daerah,2020-11-22 21:58:12.245405,Instruksi Mendagri itu diterbitkan hanya sebagai pengingat bagi kepala daerah untuk menegakkan protokol kesehatan selama pandemi Covid-19.,22 November 2020 15:42 WIB,Kemendagri Akui Mendagri Tak Bisa Berhentikan Kepala Daerah,6jam
https://dunia.tempo.co/read/1407778/republikan-minta-donald-trump-mengalah-setelah-gugatan-di-pennsylvania-gagal,2020-11-22 21:58:12.320203,Rekan partai Republik meminta Donald Trump mengakui kemenangan Joe Biden setelah hakim federal Pennsylvania menolak gugatan hasil pemilu AS.,22 November 2020 16:00 WIB,Republikan Minta Donald Trump Mengalah Setelah Gugatan di Pennsylvania Gagal,6jam
https://bisnis.tempo.co/read/1407768/larangan-terbang-dicabut-pesawat-boeing-737-max-8-lion-air-masih-dikandangkan,2020-11-22 21:58:12.396394,Lion Air masih menunggu keputusan Kementerian Perhubungan terkait larangan terbang Boeing 737 Max 8,22 November 2020 14:36 WIB,"Larangan Terbang Dicabut, Pesawat Boeing 737 Max 8 Lion Air Masih Dikandangkan",6jam
https://dunia.tempo.co/read/1407770/donald-trump-jr-pilih-bersihkan-senjata-untuk-isi-waktu-saat-dikarantina,2020-11-22 21:58:12.474108,Donald Trump Jr. mengatakan akan mengisi waktu isolasinya untuk membersihkan senjata-senjata.,22 November 2020 15:00 WIB,Donald Trump Jr. Pilih Bersihkan Senjata Untuk Isi Waktu Saat Dikarantina,6jam
https://dunia.tempo.co/read/1407724/arkeolog-temukan-lagi-dua-jasad-penduduk-kota-kuno-pompeii,2020-11-22 21:58:17.716040,Kedua penduduk Kota Pompeii ini diperkirakan sebagai seorang budak dan tuannya.,22 November 2020 11:18 WIB,Arkeolog Temukan Lagi Dua Jasad Penduduk Kota Kuno Pompeii,12jam
https://nasional.tempo.co/read/1407686/bareskrim-kembali-sita-tanah-dan-rumah-tersangka-kasus-maybank,2020-11-22 21:58:17.789053,"Polri menyita sejumlah aset milik AT, mantan Kepala Cabang Bank Maybank Cipulir. AT merupakan tersangka kasus dugaan penggelapan uang Winda Lunardi",22 November 2020 09:00 WIB,Bareskrim Kembali Sita Tanah dan Rumah Tersangka Kasus Maybank,12jam
https://nasional.tempo.co/read/1407701/tni-tertibkan-baliho-rizieq-wakil-ketua-mpr-mereka-perpanjangan-tangan-negara,2020-11-22 21:58:17.873863,Wakil Ketua MPR Lestari Moerdijat menilai langkah TNI membantu Pemerintah DKI Jakarta menertibkan spanduk dan baliho Rizieq Shihab sesuai aturan,22 November 2020 10:25 WIB,"TNI Tertibkan Baliho Rizieq, Wakil Ketua MPR: Mereka Perpanjangan Tangan Negara",12jam
https://nasional.tempo.co/read/1407738/pangdam-jaya-sebut-sudah-minta-satpol-pp-copot-baliho-rizieq-tapi-nggak-berani,2020-11-22 21:58:17.945505,"Pangdam Jaya Mayor Jenderal Dudung Abdurachman, menjelaskan alasan TNI turun langsung dalam pencopotan baliho Rizieq Shihab.",22 November 2020 12:31 WIB,Pangdam Jaya Sebut Sudah Minta Satpol PP Copot Baliho Rizieq tapi Nggak Berani,12jam
https://metro.tempo.co/read/1407774/tni-dan-polisi-datangi-rumah-rizieq-shihab-kapendam-jaya-tak-terencana-tapi,2020-11-22 21:58:18.055498,Kapendam Jaya Letkol Arh Herwin Budi Saputra menjelaskan pihaknya bersama polisi tak berencana mengunjungi rumah Imam Besar FPI Rizieq Shihab semalam.,22 November 2020 14:55 WIB,"TNI dan Polisi Datangi Rumah Rizieq Shihab, Kapendam Jaya: Tak Terencana, tapi..",12jam
https://metro.tempo.co/read/1407718/polisi-warga-sebut-rizieq-shihab-tidak-sedang-isolasi-mandiri,2020-11-22 21:58:18.147583,"Saat didatangi beberapa orang aparat dari Bhabinkamtibmas Polri dan Babinsa TNI pada Sabtu malam, Pimpinan FPI Rizieq Shihab ogah menemui mereka.",22 November 2020 11:06 WIB,Polisi: Warga Sebut Rizieq Shihab Tidak Sedang Isolasi Mandiri,12jam
https://nasional.tempo.co/read/1407715/jubir-bantah-keterkaitan-jusuf-kalla-dengan-kepulangan-rizieq-shihab,2020-11-22 21:58:18.220449,"Juru bicara Wakil Presiden ke-10 dan 12 Jusuf Kalla (JK), Husain Abdullah, membantah keterkaitan JK dengan kepulangan Rizieq Shihab",22 November 2020 10:49 WIB,Jubir Bantah Keterkaitan Jusuf Kalla dengan Kepulangan Rizieq Shihab,12jam
https://bisnis.tempo.co/read/1407704/income-bca-lebih-tinggi-dibanding-bank-himbara-erick-thohir-tak-apple-to-apple,2020-11-22 21:58:18.313186,Erick Thohir angkat bicara tentang turunnya pendapatan sejumlah yang masuk dalam Himpunan Bank-bank Milik Negara atau Himbara belakangan ini.,22 November 2020 10:26 WIB,"Income BCA Lebih Tinggi Dibanding Bank Himbara, Erick Thohir: Tak Apple to Apple",12jam
https://metro.tempo.co/read/1407791/cerita-pengusaha-percetakan-soal-pencopotan-sejumlah-baliho-rizieq-shihab,2020-11-22 21:58:18.386530,Pencopotan baliho Rizieq Shihab dam spanduk Imam Besar FPI itu yang gencar oleh anggota TNI berpotensi berpengaruh terhadap bisnis percetakan.,22 November 2020 16:01 WIB,Cerita Pengusaha Percetakan Soal Pencopotan Sejumlah Baliho Rizieq Shihab,12jam
https://fokus.tempo.co/read/1407759/jalan-pintas-tni-setelah-baliho-rizieq-shihab-membuat-resah,2020-11-22 21:58:18.492119,TNI yang tugasnya menjaga keamanan negara dan keutuhan NKRI kini cawe-cawe mengurusi penurunan baliho Rizieq Shihab.,22 November 2020 14:07 WIB,Jalan Pintas TNI Setelah Baliho Rizieq Shihab Membuat Resah,12jam
https://metro.tempo.co/read/1407645/polisi-dan-tni-ke-rumah-rizieq-shihab-fpi-minta-tes-swab-kami-tolak,2020-11-22 21:58:22.251314,FPI menyatakan kedatangan polisi dan TNI ke rumah Rizieq Shihab untuk meminta warga melakukan tes swab.,22 November 2020 06:04 WIB,"Polisi dan TNI ke Rumah Rizieq Shihab, FPI: Minta Tes Swab, Kami Tolak",1hari
https://metro.tempo.co/read/1407620/tni-dan-polisi-datangi-rumah-rizieq-shihab-malam-ini-begini-kata-warga,2020-11-22 21:58:22.323035,"Sejumlah anggota polisi dan TNI terlihat mendatangi rumah pimpinan Front Pembela Islam (FPI) Rizieq Shihab di Jalan Petamburan III, Tanah Abang.",21 November 2020 23:59 WIB,"TNI dan Polisi Datangi Rumah Rizieq Shihab Malam Ini, Begini Kata Warga",1hari
https://dunia.tempo.co/read/1407724/arkeolog-temukan-lagi-dua-jasad-penduduk-kota-kuno-pompeii,2020-11-22 21:58:22.390167,Kedua penduduk Kota Pompeii ini diperkirakan sebagai seorang budak dan tuannya.,22 November 2020 11:18 WIB,Arkeolog Temukan Lagi Dua Jasad Penduduk Kota Kuno Pompeii,1hari
