link,rank,scraped_at,timestamp,title,type
https://www.tribunnews.com/metropolitan/2020/11/22/polisi-tunggu-itikad-rizieq-shihab-lakukan-swab-test-covid-19-hingga-selasa,1,2020-11-22 20:39:34.402548,"Minggu, 22 November 2020 13:57 WIB",Polisi Tunggu Itikad Rizieq Shihab Lakukan Swab Test Covid-19 hingga Selasa,6h
https://www.tribunnews.com/nasional/2020/11/22/soal-tni-copot-baliho-rizieq-shihab-pengamat-negara-tidak-boleh-kalah-dari-siapapun,2,2020-11-22 20:39:34.478555,"Minggu, 22 November 2020 15:55 WIB","Soal TNI Copot Baliho Rizieq Shihab, Pengamat: Negara Tidak Boleh Kalah dari Siapapun",6h
https://www.tribunnews.com/metropolitan/2020/11/22/anggota-dprd-dki-jelaskan-alasan-tni-polri-turunkan-baliho-rizieq-shihab-bukan-satpol-pp,3,2020-11-22 20:39:34.555809,"Minggu, 22 November 2020 13:47 WIB","Anggota DPRD DKI Jelaskan Alasan TNI-Polri Turunkan Baliho Rizieq Shihab, Bukan Satpol PP",6h
https://www.tribunnews.com/metropolitan/2020/11/22/cekcok-mulut-berujung-perkelahian-terjadi-di-cimanggis-depok-seorang-pria-alami-luka-tembak,4,2020-11-22 20:39:34.628660,"Minggu, 22 November 2020 14:33 WIB","Cekcok Mulut Berujung Perkelahian Terjadi di Cimanggis Depok, Seorang Pria Alami Luka Tembak",6h
https://www.tribunnews.com/lifestyle/2020/11/22/ramalan-zodiak-besok-senin-23-november-2020-aries-kehilangan-uang,5,2020-11-22 20:39:34.701245,"Minggu, 22 November 2020 13:27 WIB",RAMALAN ZODIAK Besok Senin 23 November 2020: Aries Kehilangan Uang?,6h
https://www.tribunnews.com/seleb/2020/11/22/denny-sumargo-unggah-potret-pertama-sang-istri-olivia-allan-wanti-wanti-warganet-singgung-soal-ini,6,2020-11-22 20:39:34.775742,"Minggu, 22 November 2020 13:33 WIB","Denny Sumargo Unggah Potret Pertama sang Istri, Olivia Allan Wanti-wanti Warganet, Singgung soal Ini",6h
https://www.tribunnews.com/seleb/2020/11/22/momen-reino-barack-nempel-dengan-anak-laki-laki-aisyahrani-syahrini-sampai-dicuekin,7,2020-11-22 20:39:34.843299,"Minggu, 22 November 2020 13:50 WIB","Momen Reino Barack Nempel dengan Anak Laki-laki Aisyahrani, Syahrini sampai Dicuekin",6h
https://www.tribunnews.com/seleb/2020/11/22/reaksi-rizky-billar-saat-lihat-foto-masa-kecil-lesty-kejora-lebih-cantik-sekarang-sih,8,2020-11-22 20:39:34.912658,"Minggu, 22 November 2020 13:27 WIB",Reaksi Rizky Billar saat Lihat Foto Masa Kecil Lesty Kejora: Lebih Cantik Sekarang Sih,6h
https://www.tribunnews.com/superskor/2020/11/22/bagus-kahfi-sudah-temui-barito-putera-peluang-gabung-fc-utrecht-makin-besar,9,2020-11-22 20:39:34.983033,"Minggu, 22 November 2020 15:10 WIB","Bagus Kahfi Sudah Temui Barito Putera, Peluang Gabung FC Utrecht Makin Besar?",6h
https://www.tribunnews.com/bisnis/2020/11/22/menkeu-sri-mulyani-ekonomi-masih-sangat-rapuh,10,2020-11-22 20:39:35.050626,"Minggu, 22 November 2020 13:51 WIB",Menkeu Sri Mulyani: Ekonomi Masih Sangat Rapuh,6h
